Country_ID,Year,Indicator_value
ZAF,2002,51.96
ZAF,2001,51.812
ZAF,2000,51.68
ZAF,1999,51.513
ZAF,1998,51.361
ZAF,1997,51.225
ZAF,1996,51.05
ZAF,1995,50.82
ZAF,1994,50.575
ZAF,1993,50.338
ZAF,1992,50.106
ZAF,1991,49.944
ZAF,1990,49.858
