Country Code ISO3,Country,2021 SDG Index Rank,2021 SDG Index Score,Regional Score (0-100),Regions used for the SDR,Population in 2020,Goal 1,Goal 2,Goal 3,Goal 4,Goal 5,Goal 6,Goal 7,Goal 8,Goal 9,Goal 10,Goal 11,Goal 12,Goal 13,Goal 14,Goal 15,Goal 16,Goal 17
SGP,Singapore,76,69.9,65.7,East & South Asia,"5,850,343",98.4435,76.10533333,94.58821429,99.66666667,72.6505,64.389,94.65533333,70.1775,90.20683333,,94.737,16.31233333,55.48333333,43.4994,31.56075,86.88233333,43.963
SLB,Solomon Islands,,,50.1,Oceania,"686,878",,,,,,,,,,,,,,,,,
SLE,Sierra Leone,148,51.7,51.9,Africa,"7,976,985",20.303,49.78857143,28.80192857,67.441,50.7865,48.163,9.351,59.485,5.1355,68.04,39.739,95.158,99.42766667,61.39816667,60.2838,59.863,55.59825
SLV,El Salvador,89,67.9,68.6,LAC,"6,486,201",90.159,54.954875,78.27107143,79.705,68.5145,75.8056,87.63333333,63.32316667,20.19883333,50.641,84.5265,86.308,93.96966667,27.856,66.719,61.3626,64.801
SMR,San Marino,,,71.4,E. Europe & C. Asia,"33,938",,,,,,,,,,,,,,,,,
SOM,Somalia,162,45.6,51.9,Africa,"15,893,219",8.0715,32.2824,24.97578571,,19.46533333,47.7372,14.5605,53.30575,1.805666667,73.803,56.81975,89.0762,99.906,59.34933333,54.6546,52.61483333,33.33333333
SRB,Serbia,34,75.6,71.4,E. Europe & C. Asia,"8,737,370",99.72,71.179125,82.96514286,97.29266667,65.00175,73.1114,84.68266667,76.227,51.975,73.0185,78.72925,76.20533333,85.32333333,,60.4622,74.9041,75.3935
SSD,South Sudan,164,38.9,51.9,Africa,"11,193,729",0,23.3235,26.49507143,1.644333333,52.0545,40.5728,26.08933333,50.89866667,2.121,21.176,13.1045,74.5918,99.6115,,74.7202,46.154,40.73733333
STP,Sao Tome and Principe,124,58.8,51.9,Africa,"219,161",22.431,57.20557143,61.75408333,83.542,47.1975,61.175,41.6045,62.66,19.0398,26.6805,58.32933333,76.92283333,96.67533333,85.27283333,75.3345,76.7875,46.841
SUR,Suriname,91,67,68.6,LAC,"586,634",52.007,62.87328571,69.66921429,68.92866667,64.3465,73.4006,89.45633333,72.7744,35.34225,,85.87125,75.26983333,73.949,79.58116667,77.9608,67.11177778,62.20466667
SVK,Slovak Republic,19,79.6,77.2,OECD,"5,459,643",98.2415,72.012,87.05584615,94.221375,71.8605,84.921,92.51466667,80.889,64.2085,90.948,86.7985,66.99533333,72.359,,89.6284,81.22833333,55.47525
SVN,Slovenia,9,81.6,77.2,OECD,"2,078,932",99.838,59.009625,91.82323077,99.11066667,76.131,92.5566,93.83866667,88.142,73.309,100,90.256,58.0625,61.55,64.9228,88.4566,87.9565,62.25325
SWE,Sweden,2,85.6,77.2,OECD,"10,099,270",99.384,62.9285,96.46558333,99.42004167,91.36575,93.392,98.887,83.27166667,97.43533333,94.245,95.29225,56.88266667,65.29433333,66.01666667,79.9036,86.8386,88.40825
SWZ,Eswatini,142,53.3,51.9,Africa,"1,160,164",29.644,50.396875,40.90114286,66.768,64.27,45.3718,61.4125,45.432,14.065,0,78.912,71.15566667,84.13566667,,65.2025,59.82711111,61.07675
SYC,Seychelles,,,51.9,Africa,"98,340",,,,,,,,,,,,,,,,,
SYR,Syrian Arab Republic,127,58,67.1,MENA,"17,500,657",,34.12383333,66.59778571,56.717,33.301,66.3554,86.06366667,60.48766667,14.41083333,46.572,45.39325,88.17766667,93.0525,50.081,54.688,48.848,48.96866667
TCD,Chad,163,40.9,51.9,Africa,"16,425,859",20.73,32.21628571,21.5365,14.46466667,26.8215,39.9696,2.039,55.7796,8.218666667,35.493,26.78125,90.88866667,99.6815,,71.691,34.695,46.35666667
TGO,Togo,143,53.2,51.9,Africa,"8,278,737",18.113,60.415875,42.29407143,69.277,42.45125,49.7112,28.49433333,64.1685,14.58616667,29.8485,38.87525,93.24033333,98.837,71.8615,73.2015,53.99511111,55.50425
THA,Thailand,43,74.2,65.7,East & South Asia,"69,799,978",100,59.772,77.8265,89.76766667,69.27375,76.9234,83.43266667,75.45316667,55.15533333,61.26,81.67275,77.09066667,87.036,68.156,66.5034,70.419,61.47375
TJK,Tajikistan,78,69.8,71.4,E. Europe & C. Asia,"9,537,642",89.246,59.595,69.20892857,97.99266667,54.5325,59.65,91.10833333,69.3806,11.811,74.564,77.42075,85.7748,94.2645,,68.8928,73.445375,50.11075
TKM,Turkmenistan,117,61.1,71.4,E. Europe & C. Asia,"6,031,187",29.3735,53.96257143,68.734,88.82488333,58.354,58.6298,81.33366667,65.3656,12.4504,,80.219,82.76116667,48.2465,,63.8438,73.254125,42.769
TLS,Timor-Leste,,,65.7,East & South Asia,"1,318,442",,,,,,,,,,,,,,,,,
TON,Tonga,,,50.1,Oceania,"105,697",,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,108,63.5,68.6,LAC,"1,399,491",98.5315,55.2985,80.95028571,91.127,65.88675,74.054,88.55066667,75.0885,29.29233333,,76.74733333,65.61433333,29.0625,51.80416667,53.686,60.3826,55.47333333
TUN,Tunisia,60,71.4,67.1,MENA,"11,818,618",97.069,55.10471429,76.45278571,87.77333333,47.431,63.3262,92.02733333,57.96566667,42.94366667,70.704,70.92825,86.84383333,90.79866667,64.3645,67.494,69.5085,73.8045
TUR,Turkey,70,70.4,77.2,OECD,"84,339,067",99.624,65.068,82.928,96.273,46.32975,75.1284,89.161,59.06066667,60.3015,38.105,73.9875,79.81083333,86.96766667,51.99816667,53.2594,66.49644444,71.96325
TUV,Tuvalu,,,50.1,Oceania,"11,792",,,,,,,,,,,,,,,,,
